2026-03-30 00:10:06 | INFO     | backend.main | SparkInsight starting up...
2026-03-30 00:10:06 | INFO     | backend.firebase_config | Firebase initialized with service account credentials.
2026-03-30 00:10:36 | INFO     | backend.dataset_catalog | Loaded 10 datasets from catalog.
2026-03-30 00:10:36 | INFO     | backend.job_controller | Job ba79634d-c207-410f-b087-41c28edb3601 created for user ytAX9VqrzAZTRHYc2SlFFZUGhwJ3 on dataset 'nyc_taxi_trips'
2026-03-30 00:10:36 | INFO     | backend.job_controller | Retry: new job ba79634d-c207-410f-b087-41c28edb3601 created from failed job 5914c5cd-e3d3-4f5a-b1f1-9cbb59d9cfb1
2026-03-30 00:10:36 | INFO     | backend.job_controller | Job ba79634d-c207-410f-b087-41c28edb3601 → profiling
2026-03-30 00:10:36 | INFO     | backend.spark_session | Initializing Spark session: master=local[*], partitions=8
2026-03-30 00:10:36 | INFO     | backend.spark_session | Using Python: C:\Users\SANJAY\AppData\Local\Programs\Python\Python310\python.exe
2026-03-30 00:11:03 | INFO     | backend.spark_session | Spark session created. Version: 3.5.0
2026-03-30 00:11:03 | WARNING  | backend.dataset_loader | Dataset file not found at datasets/transportation/nyc_taxi_trips.parquet. Generating synthetic demo data.
2026-03-30 00:11:29 | INFO     | backend.dataset_loader | Generated synthetic dataset 'nyc_taxi_trips' with 50000 rows, 18 columns
2026-03-30 00:11:42 | INFO     | backend.dataset_loader | Dataset 'nyc_taxi_trips' loaded and cached. Partitions: 12, Columns: 18
2026-03-30 00:11:42 | INFO     | backend.execution_metrics_engine | Stage 'load' completed in 66.410s
2026-03-30 00:11:42 | INFO     | backend.profiling_engine | Starting data profiling...
2026-03-30 00:12:11 | INFO     | backend.profiling_engine | Profiling complete: 50000 rows, 18 cols, 7 numeric, 9 categorical
2026-03-30 00:12:11 | INFO     | backend.execution_metrics_engine | Stage 'profiling' completed in 28.404s
2026-03-30 00:12:11 | INFO     | backend.job_controller | Job ba79634d-c207-410f-b087-41c28edb3601 → cleaning
2026-03-30 00:12:11 | INFO     | backend.cleaning_pipeline | Starting cleaning pipeline for 'nyc_taxi_trips'...
2026-03-30 00:12:13 | INFO     | backend.cleaning_pipeline | Cleaning complete. 0 rows removed, 0 cols removed.
2026-03-30 00:12:13 | INFO     | backend.execution_metrics_engine | Stage 'cleaning' completed in 1.986s
2026-03-30 00:12:13 | INFO     | backend.profiling_engine | Starting data profiling...
2026-03-30 00:12:17 | INFO     | backend.profiling_engine | Profiling complete: 50000 rows, 18 cols, 7 numeric, 9 categorical
2026-03-30 00:12:17 | INFO     | backend.job_controller | Job ba79634d-c207-410f-b087-41c28edb3601 → quality_scoring
2026-03-30 00:12:17 | INFO     | backend.data_quality_engine | Computing data quality score...
2026-03-30 00:12:17 | INFO     | backend.data_quality_engine | Quality score: 53.92/100 (F)
2026-03-30 00:12:17 | INFO     | backend.execution_metrics_engine | Stage 'quality_scoring' completed in 0.754s
2026-03-30 00:12:18 | INFO     | backend.job_controller | Job ba79634d-c207-410f-b087-41c28edb3601 → analytics
2026-03-30 00:12:18 | INFO     | backend.analytics_engine | Starting analytics for dataset 'nyc_taxi_trips'...
2026-03-30 00:12:31 | INFO     | backend.analytics_engine | Analytics complete.
2026-03-30 00:12:31 | INFO     | backend.execution_metrics_engine | Stage 'analytics' completed in 13.959s
2026-03-30 00:12:33 | INFO     | backend.filter_engine | Generated 18 dynamic filters from schema.
2026-03-30 00:12:33 | INFO     | backend.visualization_engine | Visualization engine recommended 7 charts.
2026-03-30 00:12:33 | INFO     | backend.insight_generator | Generated 5 insights.
2026-03-30 00:12:33 | INFO     | backend.execution_metrics_engine | Stage 'post_processing' completed in 1.678s
2026-03-30 00:12:33 | INFO     | backend.job_controller | Job ba79634d-c207-410f-b087-41c28edb3601 → formatting
